12,Sri Asih,Alana discover the truth about her origin: she’s not an ordinary human being. She may be the gift for humanity and become its protector as Sri Asih. Or a destruction if she can’t control her anger.
13,Noah's Ark,A pair of mice attempt to board Noah's Ark: Vini a charismatic poet with terrible stage fright and Tito a talented and charming guitarist. When the rains come only one male and one female of each species is allowed on Noah's Ark. With the help of an ingenious cockroach and fate's good luck Vini and Tito sneak their way onto the Ark and together avert a showdown among the ships carnivores and plant eaters. All the while the animals perform a series of classic songs inspired by world renowned poet Vinicius de Moraes. Can these talented stowaways use music to break the tension and help these cooped up creatures survive the 40 days and 40 nights together?
14,Godzilla vs. Kong,In a time when monsters walk the Earth humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.
15,Godzilla Minus One,Postwar Japan is at its lowest point when a new crisis emerges in the form of a giant monster baptized in the horrific power of the atomic bomb.
16,Oppenheimer,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.
17,Megamind vs. the Doom Syndicate,Megamind's former villain team The Doom Syndicate has returned. Our newly crowned blue hero must now keep up evil appearances until he can assemble his friends (Roxanne Ol' Chum and Keiko) to stop his former evil teammates from launching Metro City to the Moon.
18,Land of Bad,When a Delta Force special ops mission goes terribly wrong Air Force drone pilot Reaper has 48 hours to remedy what has devolved into a wild rescue operation. With no weapons and no communication other than the drone above the ground mission suddenly becomes a full-scale battle when the team is discovered by the enemy.
19,Heart of the Hunter,A retired assassin is pulled back into action when his friend uncovers a dangerous conspiracy at the heart of the South African government.
20,Land of Bad,When a Delta Force special ops mission goes terribly wrong Air Force drone pilot Reaper has 48 hours to remedy what has devolved into a wild rescue operation. With no weapons and no communication other than the drone above the ground mission suddenly becomes a full-scale battle when the team is discovered by the enemy.
21,Heart of the Hunter,A retired assassin is pulled back into action when his friend uncovers a dangerous conspiracy at the heart of the South African government.
22,Bullet Train Down,On its maiden run the world's fastest bullet train is rigged with a bomb that will explode if it dips below 200 mph.
23,Vikings Battle of Heirs,A young Viking must come to terms with the realization that he may be the King's son who was switched at birth but not before others try to take his rightful place.
24,Wonka,Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream and if you’re lucky enough to meet Willy Wonka anything is possible.
25,Poor Things,Brought back to life by an unorthodox scientist a young woman runs off with a debauched lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times she grows steadfast in her purpose to stand for equality and liberation.
26,Wish,Asha a sharp-witted idealist makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together Asha and Star confront a most formidable foe - the ruler of Rosas King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars wondrous things can happen.
27,Code 8 Part II,In a world where superpowered people are heavily policed by robots an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop.
28,Godzilla King of the Monsters,Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters including the mighty Godzilla who collides with Mothra Rodan and his ultimate nemesis the three-headed King Ghidorah. When these ancient super-species thought to be mere myths rise again they all vie for supremacy leaving humanity's very existence hanging in the balance.
29,Air Force One Down,On her first assignment aboard Air Force One a rookie Secret Service agent faces the ultimate test when terrorists hijack the plane intent on derailing a pivotal energy deal. With the President's life on the line and a global crisis at stake her bravery and skills are pushed to the limit in a relentless battle that could change the course of history.
30,Anyone But You,After an amazing first date Bea and Ben’s fiery attraction turns ice cold — until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.
31,The Zone of Interest,The commandant of Auschwitz Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden next to the camp.
32,Argylle,When the plots of reclusive author Elly Conway's fictional espionage novels begin to mirror the covert actions of a real-life spy organization quiet evenings at home become a thing of the past. Accompanied by her cat Alfie and Aiden a cat-allergic spy Elly races across the world to stay one step ahead of the killers as the line between Conway's fictional world and her real one begins to blur.
33,Dune,Paul Atreides a brilliant and gifted young man born into a great destiny beyond his understanding must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.
34,Imaginary,When Jessica moves back into her childhood home with her family her youngest stepdaughter Alice develops an eerie attachment to a stuffed bear named Chauncey she finds in the basement. Alice starts playing games with Chauncey that begin playful and become increasingly sinister. As Alice’s behavior becomes more and more concerning Jessica intervenes only to realize Chauncey is much more than the stuffed toy bear she believed him to be.
35,My Fault,Noah must leave her city boyfriend and friends to move into William Leister's mansion the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old Noah resists living in a mansion surrounded by luxury. However it is there where she meets Nick her new stepbrother and the clash of their strong personalities becomes evident from the very beginning.
36,Fast X,Over many missions and against impossible odds Dom Toretto and his family have outsmarted out-nerved and outdriven every foe in their path. Now they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge and who is determined to shatter this family and destroy everything—and everyone—that Dom loves forever.
37,A Moroccan Affair,Follows the Díaz-Aguirre family whose perfect universe turns upside down after the death of the patriarch who in his will asks his wife to recover the 'Sardinete' his first fishing boat which is rusting in a Moroccan port.
38,Godzilla,Ford Brody a Navy bomb expert has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father Joe. Soon both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake as they make their way toward their final battleground: San Francisco.
39,Contagion of Fear,A catastrophic train derailment sends the city spiraling into chaos. But the derailment is just the beginning. A biological gas attack sees crash survivors collapsing and dying within minutes. And the sickness is rapidly spreading.
40,Carmen 1945,Prostitutes in burnt out Tokyo ghetto of post-WWII Japan peddle their flesh and save one-third of their money for a proposed dancehall to be named Paradise. The hookers live in a bombed-out building but they accept the precarious situation with typical resolve.
41,The Marvels,Carol Danvers aka Captain Marvel has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary her powers become entangled with that of Jersey City super-fan Kamala Khan aka Ms. Marvel and Carol’s estranged niece now S.A.B.E.R. astronaut Captain Monica Rambeau. Together this unlikely trio must team up and learn to work in concert to save the universe.
42,The Boy and the Heron,While the Second World War rages the teenage Mahito haunted by his mother's tragic death is relocated from Tokyo to the serene rural home of his new stepmother Natsuko a woman who bears a striking resemblance to the boy's mother. As he tries to adjust this strange new world grows even stranger following the appearance of a persistent gray heron who perplexes and bedevils Mahito dubbing him the "long-awaited one."
43,The Pig the Snake and the Pigeon,The arrogant third most-wanted criminal in Taiwan decides to get rid of the top two competitors and crowns himself the most-wanted criminal before dying.
44,To Your Last Death,In order to save her siblings a young woman takes on her father and the powerful entity known as Gamemaster who ensnares humans into diabolical plots while her species gambles on the outcome.
45,King Kong,In 1933 New York an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island where they encounter Kong a giant ape who is immediately smitten with the leading lady.
46,24 Hours with Gaspar,With only 24 hours left to live a private investigator follows a trail of confounding clues to uncover the disappearance of his childhood friend.
47,Meteor,After a meteor collides into Earth a lonely rancher and a lost young girl are on the run from vicious mercenaries.
48,Barbie,Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However when they get a chance to go to the real world they soon discover the joys and perils of living among humans.
49,Ghostbusters Frozen Empire,The Spengler family returns to where it all started – the iconic New York City firehouse – to team up with the original Ghostbusters who've developed a top-secret research lab to take busting ghosts to the next level. But when the discovery of an ancient artifact unleashes an evil force Ghostbusters new and old must join forces to protect their home and save the world from a second Ice Age.
50,The Weapon,Dallas is a one-man killing machine on a mysterious rampage. His attacks on biker gangs and meth labs anger the Vegas mob boss who’s holding Dallas’ girlfriend hostage. But who is Dallas working for? Even torture won’t make him talk and he won’t stop until justice is served.
51,Aquaman and the Lost Kingdom,Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power he becomes a formidable foe. To defend Atlantis Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.
52,Avatar The Way of Water,Set more than a decade after the events of the first film learn the story of the Sully family (Jake Neytiri and their kids) the trouble that follows them the lengths they go to keep each other safe the battles they fight to stay alive and the tragedies they endure.
53,The Super Mario Bros. Movie,While working underground to fix a water main Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated Mario embarks on an epic quest to find Luigi.
54,Three Robbers and a Lion,The three thieves Kasper Jesper and Jonathan lives together with their always hungry lion in the little town of Kardemomme town the home to a fair but kind police officer and the strict Aunt Sofie.
55,Transformers Rise of the Beasts,When a new threat capable of destroying the entire planet emerges Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.
56,Kong Skull Island,Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous primordial island.
57,Skal - Fight for Survival,My name's Arthur a huge Internet star who's just hit 3 million subs. While in the midst of throwing an epic party to celebrate the universe had the balls to bring on the effing apocalypse and cut my night short. What was supposed to be a perfect hangover has turned into an epic fight for survival.
58,The Casagrandes Movie,On a birthday trip to Mexico 12-year-old Ronnie Anne accidentally frees a demigod trapped in a mountain and needs her family's help to set things right.
59,The Batman,In his second year of fighting crime Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.
60,Cracked,Ruja inherited the painting from her deceased father and hired Tim an art restorer to repair it but they don't know that this invaluable art came with invaluable horror.
61,Bob Marley One Love,Jamaican singer-songwriter Bob Marley overcomes adversity to become the most famous reggae musician in the world.
62,Avengers Infinity War,As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy his goal is to collect all six Infinity Stones artifacts of unimaginable power and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.
63,Spider-Man No Way Home,Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous forcing him to discover what it truly means to be Spider-Man.
64,Final Fantasy VII On the Way to a Smile - Episode Denzel,It's been four years since Meteor fell on Midgar. Denzel meets Reeve at an outskirts coffee shop about joining the World Regenesis Organization. Upon the request Denzel tells Reeve about what his life was like prior to the Meteor incident.
65,Ruthless,A high school coach whose teenage daughter was murdered takes matters into his own hands by going after the men who kidnap his students for their sex trafficking operation.
66,Dogman,A boy bruised by life finds his salvation through the love of his dogs.
67,Emanuelle and the White Slave Trade,Emanuelle returns to Kenya trying to get an interview with a foreign gangster who's taken refuge in the African countryside while still operating an international criminal network.
68,The Adventure of A.R.I. My Robot Friend,A teenager summons the courage to help a friendly robot known as A.R.I. kidnapped by a ruthless lab director working for a powerful corporation seeking to turn him into a dangerous weapon in order to rule the world.
69,Wonder Woman,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.
70,The Flash,When his attempt to save his family inadvertently alters the future Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?
71,Inside Out 2,Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy Sadness Anger Fear and Disgust who’ve long been running a successful operation by all accounts aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.
72,The Beekeeper,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.
73,Virgin Territory,The film is set in Tuscany during the Black Death. As in the Decameron ten young Florentines take refuge from the plague. But instead of telling stories they have lusty adventures bawdy exchanges romance and swordplay. There are randy nuns Saracen pirates and a sexy cow.
74,Elemental,In a city where fire water land and air residents live together a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.
75,The Hunger Games The Ballad of Songbirds & Snakes,64 years before he becomes the tyrannical president of Panem Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird the female tribute from District 12.
76,The Thundermans Return,Twins Phoebe and Max are enjoying their superhero lifestyle but when one 'save' goes awry the Thundermans are sent back to Hiddenville. While Hank and Barb enjoy their return and Billy and Nora look forward to a normal high school life Max and Phoebe are determined to regain their superhero status.
77,Spider-Man Across the Spider-Verse,After reuniting with Gwen Stacy Brooklyn’s full-time friendly neighborhood Spider-Man is catapulted across the Multiverse where he encounters the Spider Society a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.
78,The OctoGames,Eight contestants compete in eight deadly classic children's games. They seek fame beyond their wildest dreams competing for the chance to take over the YouTube channel of the famous yet elusive masked content creator known only as "JaxPro".
79,Inside Out,From an adventurous balloon ride above the clouds to a monster-filled metropolis Academy Award®-winning director Pete Docter (“Monsters Inc.” “Up”) has taken audiences to unique and imaginative places. In Disney and Pixar’s original movie “ Inside Out” he will take us to the most extraordinary location of all—inside the mind.
80,Spider-Man Across the Spider-Verse,After reuniting with Gwen Stacy Brooklyn’s full-time friendly neighborhood Spider-Man is catapulted across the Multiverse where he encounters the Spider Society a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.
81,The OctoGames,Eight contestants compete in eight deadly classic children's games. They seek fame beyond their wildest dreams competing for the chance to take over the YouTube channel of the famous yet elusive masked content creator known only as "JaxPro".
82,Inside Out,From an adventurous balloon ride above the clouds to a monster-filled metropolis Academy Award®-winning director Pete Docter (“Monsters Inc.” “Up”) has taken audiences to unique and imaginative places. In Disney and Pixar’s original movie “ Inside Out” he will take us to the most extraordinary location of all—inside the mind.
83,Exhuma,After tracing the origin of a disturbing supernatural affliction to a wealthy family's ancestral gravesite a team of paranormal experts relocates the remains—and soon discovers what happens to those who dare to mess with the wrong grave.
84,Thor Ragnarok,Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok the destruction of his home-world and the end of Asgardian civilization at the hands of a powerful new threat the ruthless Hela.
85,John Wick Chapter 4,With the price on his head ever increasing John Wick uncovers a path to defeating The High Table. But before he can earn his freedom Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.
86,Stopmotion,Ella Blake a stop-motion animator struggling to control her demons after the loss of her overbearing mother embarks upon the creation of a film that becomes the battleground for her sanity. As Ella’s mind starts to fracture the characters in her project take on a life of their own.
87,Ghostbusters,Following a ghost invasion of Manhattan paranormal enthusiasts Erin Gilbert and Abby Yates nuclear engineer Jillian Holtzmann and subway worker Patty Tolan band together to stop the otherworldly threat.
88,Captain Marvel,The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.
89,Trolls Band Together,When Branch's brother Floyd is kidnapped for his musical talents by a pair of nefarious pop-star villains Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.
90,Turning Red,Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited she transforms into a giant red panda.
91,Kung Fu Panda,When the Valley of Peace is threatened lazy Po the panda discovers his destiny as the "chosen one" and trains to become a kung fu hero but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress Crane Mantis Viper and Monkey -- to give it a try.
92,Harry Potter and the Chamber of Secrets,Cars fly trees fight back and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry Ron and Hermione’s magical abilities and courage.
93,Napoleon,An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive volatile relationship with his wife Josephine.
94,The Masked Saint,The journey of a professional wrestler who becomes a small town pastor and moonlights as a masked vigilante fighting injustice. While facing crises at home and at the church the Pastor must evade the police and somehow reconcile his violent secret identity with his calling as a pastor.
95,PAW Patrol The Mighty Movie,A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers transforming them into The Mighty Pups.
96,Deadpool,The origin story of former Special Forces operative turned mercenary Wade Wilson who after being subjected to a rogue experiment that leaves him with accelerated healing powers adopts the alter ego Deadpool. Armed with his new abilities and a dark twisted sense of humor Deadpool hunts down the man who nearly destroyed his life.
97,The Passion of the Christ,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.
98,Broken Lance,The remnants of Knight House Corvec fight for survival against the forces of Chaos while dealing with power struggles that pit their High Queen against her niece – the rightful heir.
99,Split,Though Kevin has evidenced 23 personalities to his trusted psychiatrist Dr. Fletcher there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful observant Casey Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.
100,Black Adam,Nearly 5000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb ready to unleash his unique form of justice on the modern world.
101,Badland Hunters,After a deadly earthquake turns Seoul into a lawless badland a fearless huntsman springs into action to rescue a teenager abducted by a mad doctor.
102,Freelance,An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator but a military coup breaks out in the middle of the interview they are forced to escape into the jungle where they must survive.
103,Drive-Away Dolls,Jamie an uninhibited free spirit bemoaning yet another breakup with a girlfriend and her demure friend Marian desperately needs to loosen up. In search of a fresh start the two embark on an impromptu road trip to Tallahassee but things quickly go awry when they cross paths with a group of inept criminals along the way.
104,Harry Potter and the Philosopher's Stone,Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.
105,The Maze Runner,Set in a post-apocalyptic world young Thomas is deposited in a community of boys after his memory is erased soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.
106,Leave,A young woman tries to find her origins after having been abandoned as an infant at a cemetery wrapped in a cloth with satanic symbols but as she gets closer to answers a malevolent spirit is telling her to leave.
107,Aquaman,Half-human half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.
108,The Voyagers,Time jump to 1939 with teenager Max and his friends as they try to navigate Mussolini's Rome and find Max's missing brother.
109,The Family Plan,Dan Morgan is many things: a devoted husband a loving father a celebrated car salesman. He's also a former assassin. And when his past catches up to his present he's forced to take his unsuspecting family on a road trip unlike any other.
110,Robot Dreams,Dog lives in Manhattan and he's tired of being alone. One day he decides to build himself a robot a companion. Their friendship blossoms until they become inseparable to the rhythm of 80's NYC. One summer night Dog with great sadness is forced to abandon Robot at the beach. Will they ever meet again?
111,Sixty Minutes,Desperate to keep custody of his daughter a mixed martial arts fighter abandons a big match and races across Berlin to attend her birthday party.
112,The Five,A scorned woman enlists the help of five strangers to execute a bank robbery. Tensions rise as the men anxiously await her arrival with the money leaving the crew to wonder if they have been betrayed.
113,Pulp Fiction,A burger-loving hit man his philosophical partner a drug-addled gangster's moll and a washed-up boxer converge in this sprawling comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.
114,Iron Man 2,With the world now aware of his dual life as the armored superhero Iron Man billionaire inventor Tony Stark faces pressure from the government the press and the public to share his technology with the military. Unwilling to let go of his invention Stark with Pepper Potts and James 'Rhodey' Rhodes at his side must forge new alliances – and confront powerful enemies.
115,No Pressure,After being tricked into dropping everything to save her grandmother's farm big-city chef Oliwia falls for a handsome farmer who's hiding a secret.
116,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
117,Bird Box,Five years after an ominous unseen presence drives most of society to suicide a survivor and her two children make a desperate bid to reach safety.
118,The Shawshank Redemption,Framed in the 1940s for the double murder of his wife and her lover upstanding banker Andy Dufresne begins a new life at the Shawshank prison where he puts his accounting skills to work for an amoral warden. During his long stretch in prison Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.
119,Death Alley,In 1892 the Dalton Gang set out to become the most famous outlaws in America. That dream would become a nightmare.
120,Blade Runner 2049,Thirty years after the events of the first film a new blade runner LAPD Officer K unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard a former LAPD blade runner who has been missing for 30 years.
121,Tenet,Armed with only one word - Tenet - and fighting for the survival of the entire world the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.
122,Jaque Mate,Duque an international secret agent who retired years ago after a traumatic event is forced to return to action when a commando operative kidnaps his niece and forces him to steal a precious scientific formula as part of the ransom.
123,Princess Cursed in Time Alchemist's Quest,It follows young alchemist Amélie as she acquires a magical power: partially influencing the flow of time. But she is split in time and Amélie from the present meets Améliw from the past who accompanies her every step of the way.
124,Ghostbusters Afterlife,When a single mom and her two kids arrive in a small town they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.
125,Split,Though Kevin has evidenced 23 personalities to his trusted psychiatrist Dr. Fletcher there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful observant Casey Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.
126,Meg 2 The Trench,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.
127,Rebel Moon - Part One A Child of Fire,When a peaceful colony on the edge of the galaxy finds itself threatened by the armies of the tyrannical Regent Balisarius they dispatch Kora a young woman with a mysterious past to seek out warriors from neighboring planets to help them take a stand.
128,Tangled,When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower he's taken hostage by Rapunzel a beautiful and feisty tower-bound teen with 70 feet of magical golden hair. Flynn's curious captor who's looking for her ticket out of the tower where she's been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade complete with a super-cop horse an over-protective chameleon and a gruff gang of pub thugs.
129,Expend4bles,Armed with every weapon they can get their hands on and the skills to use them The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.
130,Mira,Near future. Lera Arabova is a 15-year-old girl who lives with her family in Vladivostok. Lera's father has been working at the orbiting space station "Mira" for many years and has long lost contact with his daughter turning only into a voice on the phone. After a meteor shower hits the city Lera has only one chance to save her loved ones and the city from a new disaster. Her father helps her in this - through satellite surveillance systems and the telephone he uses every opportunity to send a message to his daughter watching from above from the station her every step.
131,Black Panther,King T'Challa returns home to the reclusive technologically advanced African nation of Wakanda to serve as his country's new leader. However T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia the queen-mother his princess-kid sister members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent to prevent Wakanda from being dragged into a world war.
132,Orion and the Dark,A boy with an active imagination faces his fears on an unforgettable journey through the night with his new friend: a giant smiling creature named Dark.
133,Attack,With the Parliament under siege India’s first super soldier Arjun Shergill is tasked to get hold of the terrorists in the nick of time save the Prime Minister from their clutches and stop a dirty bomb from exploding and destroying Delhi. Will Arjun succeed in his mission?
134,Rest in Peace,A debt-ridden father takes advantage of an unforeseen situation to disappear and live off the grid under a false identity. But a chance event occurs and the temptation to want to know his family resurfaces.
135,The Adventures,Joy a secretary at a large multinational company has an online shopping problem likes to read adventure novels and watch travel and adventure shows. She daydreams about living a life of adventure.
136,Guardians of the Galaxy Vol. 3,Peter Quill still reeling from the loss of Gamora must rally his team around him to defend the universe along with protecting one of their own. A mission that if not completed successfully could quite possibly lead to the end of the Guardians as we know them.
137,Red Right Hand,Cash is trying to live a quiet honest life in a small Appalachian town. When a vicious crime boss forces him back into her services he soon learns he's capable of anything -- even killing -- to protect his family and his home.
138,Mad Max Fury Road,An apocalyptic story set in the furthest reaches of our planet in a stark desert landscape where humanity is broken and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.
139,Godzilla The Planet Eater,With no means for defeating Godzilla Earth mankind watches as King Ghidorah clad in a golden light descends on the planet. The heavens and earth shake once again as the war moves to a higher dimension.
140,Godzilla The Planet Eater,With no means for defeating Godzilla Earth mankind watches as King Ghidorah clad in a golden light descends on the planet. The heavens and earth shake once again as the war moves to a higher dimension.
141,Babylon,A tale of outsized ambition and outrageous excess tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films to sound films in the late 1920s.
142,The Terminator,In the post-apocalyptic future reigning tyrannical supercomputers teleport a cyborg assassin known as the "Terminator" back to 1984 to kill Sarah Connor whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?
143,Swim Instructor Nightmare,A man unknowingly hires a psychotic instructor to teach his 10-year-old daughter how to swim.
144,Mission Impossible - Dead Reckoning Part One,Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in a deadly race around the globe begins. Confronted by a mysterious all-powerful enemy Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.
